Split,Dialogue_ID,Utterance_ID,Speaker,Utterance,Emotion
train,Ses01F_impro03,Ses01F_impro03_F026,F,She needs a new name each state that we go into. [LAUGHTER],joy
train,Ses01F_impro03,Ses01F_impro03_M000,M,So what's up?  What's new?,neutral
train,Ses01F_impro03,Ses01F_impro03_M001,M,Yeah.  I heard.,neutral
train,Ses01F_impro03,Ses01F_impro03_M002,M,Shut up.  No- in Vegas?,surprise
train,Ses01F_impro03,Ses01F_impro03_M003,M,Who did you marry?,joy
train,Ses01F_impro03,Ses01F_impro03_M006,M,He turned to you and was like...,neutral
train,Ses01F_impro03,Ses01F_impro03_M007,M,[LAUGHTER] That's really romantic.,joy
train,Ses01F_impro03,Ses01F_impro03_M008,M,Yeah.,neutral
train,Ses01F_impro03,Ses01F_impro03_M009,M,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neutral
train,Ses01F_impro03,Ses01F_impro03_M011,M,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neutral
train,Ses01F_impro03,Ses01F_impro03_M013,M,Like you need another one of those.[LAUGHTER],joy
train,Ses01F_impro03,Ses01F_impro03_M014,M,Is that your phone?,joy
train,Ses01F_impro03,Ses01F_impro03_M015,M,He loves you.,joy
train,Ses01F_impro03,Ses01F_impro03_M016,M,How much did he win at the slot?,neutral
train,Ses01F_impro03,Ses01F_impro03_M017,M,Really? Penny slots?,surprise
train,Ses01F_impro03,Ses01F_impro03_M018,M,Wow.,surprise
train,Ses01F_impro03,Ses01F_impro03_M019,M,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neutral
train,Ses01F_impro03,Ses01F_impro03_M020,M,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neutral
train,Ses01F_impro03,Ses01F_impro03_M021,M,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neutral
train,Ses01F_impro03,Ses01F_impro03_M022,M,Awesome.,joy
train,Ses01F_impro03,Ses01F_impro03_M023,M,[LAUGHTER] Cat babies.,joy
train,Ses01F_impro03,Ses01F_impro03_M024,M,That's fair enough.,neutral
train,Ses01F_impro05,Ses01F_impro05_F000,F,Hi.,anger
train,Ses01F_impro05,Ses01F_impro05_F001,F,Yeah. This is the fourth line that I have been in.,anger
train,Ses01F_impro05,Ses01F_impro05_F002,F,I need my bag.,anger
train,Ses01F_impro05,Ses01F_impro05_F003,F,"I flew in over three hours ago, I've been in four different lines.",anger
train,Ses01F_impro05,Ses01F_impro05_F004,F,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,anger
train,Ses01F_impro05,Ses01F_impro05_F005,F,Nash.,anger
train,Ses01F_impro05,Ses01F_impro05_F007,F,Yes.,anger
train,Ses01F_impro05,Ses01F_impro05_F008,F,Flight seven fourteen.,anger
train,Ses01F_impro05,Ses01F_impro05_F009,F,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",anger
train,Ses01F_impro05,Ses01F_impro05_F011,F,Is this a joke?,anger
train,Ses01F_impro05,Ses01F_impro05_F012,F,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",anger
train,Ses01F_impro05,Ses01F_impro05_F014,F,"You're kidding me, this is a joke.",anger
train,Ses01F_impro05,Ses01F_impro05_F015,F,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,anger
train,Ses01F_impro05,Ses01F_impro05_F016,F,We flew in from Paris.  I've been shopping for three weeks.,anger
train,Ses01F_impro05,Ses01F_impro05_F017,F,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,anger
train,Ses01F_impro05,Ses01F_impro05_F018,F,Do you understand who my husband is?,anger
train,Ses01F_impro05,Ses01F_impro05_F019,F,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",anger
train,Ses01F_impro05,Ses01F_impro05_F020,F,Oh-Oh.  It's a gift.  You're-You're helping me out here?,anger
train,Ses01F_impro05,Ses01F_impro05_F021,F,You are cruising for a bruising.  You are in so much trouble.,anger
train,Ses01F_impro05,Ses01F_impro05_F022,F,Who's in charge?  Who is the president of Jet Blue?,anger
train,Ses01F_impro05,Ses01F_impro05_F023,F,Because I probably know him.,anger
train,Ses01F_impro05,Ses01F_impro05_F024,F,Yeah.,anger
train,Ses01F_impro05,Ses01F_impro05_F025,F,"I don't want money, I want my clothes.",anger
train,Ses01F_impro05,Ses01F_impro05_F026,F,What's your name?,anger
train,Ses01F_impro05,Ses01F_impro05_F028,F,Okay.  I'll do that.,anger
train,Ses01F_impro05,Ses01F_impro05_F029,F,I don't think you have done everything you could do because I don't have my bag here yet.,anger
train,Ses01F_impro05,Ses01F_impro05_F030,F,A letter? I'll make a personal phone call.,anger
train,Ses01F_impro05,Ses01F_impro05_M000,M,Hi.  Thanks for waiting.,neutral
train,Ses01F_impro05,Ses01F_impro05_M001,M,Can I help you?,joy
train,Ses01F_impro05,Ses01F_impro05_M002,M,Uh huh.,joy
train,Ses01F_impro05,Ses01F_impro05_M003,M,Okay.,neutral
train,Ses01F_impro05,Ses01F_impro05_M004,M,Okay.,neutral
train,Ses01F_impro05,Ses01F_impro05_M005,M,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neutral
train,Ses01F_impro05,Ses01F_impro05_M006,M,Okay.,neutral
train,Ses01F_impro05,Ses01F_impro05_M007,M,all right- okay.  And you lost your bag? Is that- that the issue?,neutral
train,Ses01F_impro05,Ses01F_impro05_M008,M,Uh-huh.,neutral
train,Ses01F_impro05,Ses01F_impro05_M009,M,"Yeah. Yeah, I don't see- I don't see any--",neutral
train,Ses01F_impro05,Ses01F_impro05_M010,M,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neutral
train,Ses01F_impro05,Ses01F_impro05_M011,M,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neutral
train,Ses01F_impro05,Ses01F_impro05_M012,M,"for such an inconvenience and your bag, but",neutral
train,Ses01F_impro05,Ses01F_impro05_M013,M,Yeah.,neutral
train,Ses01F_impro05,Ses01F_impro05_M014,M,"No, no.",neutral
train,Ses01F_impro05,Ses01F_impro05_M015,M,"No, no.  This is real.",neutral
train,Ses01F_impro05,Ses01F_impro05_M016,M,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neutral
train,Ses01F_impro05,Ses01F_impro05_M017,M,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neutral
train,Ses01F_impro05,Ses01F_impro05_M019,M,Yes.,neutral
train,Ses01F_impro05,Ses01F_impro05_M020,M,I know.,neutral
train,Ses01F_impro05,Ses01F_impro05_M022,M,Okay. Calm-,neutral
train,Ses01F_impro05,Ses01F_impro05_M023,M,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neutral
train,Ses01F_impro05,Ses01F_impro05_M024,M,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neutral
train,Ses01F_impro05,Ses01F_impro05_M025,M,It's a gift.,neutral
train,Ses01F_impro05,Ses01F_impro05_M026,M,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neutral
train,Ses01F_impro05,Ses01F_impro05_M027,M,With the amount of--,neutral
train,Ses01F_impro05,Ses01F_impro05_M028,M,"Um, actually, I don't know. I don't know. Oh really?",neutral
train,Ses01F_impro05,Ses01F_impro05_M029,M,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neutral
train,Ses01F_impro05,Ses01F_impro05_M030,M,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neutral
train,Ses01F_impro05,Ses01F_impro05_M031,M,Oh.  My name is Sean. Hi.,neutral
train,Ses01F_impro05,Ses01F_impro05_M032,M,"Badge number?  Uh, no.  You can just take my employee number I guess.",surprise
train,Ses01F_impro05,Ses01F_impro05_M033,M,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,surprise
train,Ses01F_impro05,Ses01F_impro05_M034,M,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",neutral
train,Ses01F_impro05,Ses01F_impro05_M035,M,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neutral
train,Ses01F_impro07,Ses01F_impro07_F000,F,"Yes.  There's a big envelope it says, you're in. I know.",joy
train,Ses01F_impro07,Ses01F_impro07_F002,F,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",joy
train,Ses01F_impro07,Ses01F_impro07_F003,F,"Oh- I know, I know, I know, I know.",joy
train,Ses01F_impro07,Ses01F_impro07_F004,F,"I don't know.  I spend so much time commuting as it is, I'd rather.",joy
train,Ses01F_impro07,Ses01F_impro07_F005,F,I know. We should throw a party.,joy
train,Ses01F_impro07,Ses01F_impro07_F009,F,Yeah.  I'm not sure.,joy
train,Ses01F_impro07,Ses01F_impro07_F010,F,Umm...P.h.D. [LAUGHTER],joy
train,Ses01F_impro07,Ses01F_impro07_F012,F,So I get to mold young minds. Mrs.?  That's my mother.,joy
train,Ses01F_impro07,Ses01F_impro07_F013,F,"I would be like- Oh. Right, right, right.",joy
train,Ses01F_impro07,Ses01F_impro07_F016,F,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",joy
train,Ses01F_impro07,Ses01F_impro07_M000,M,Did you get the letter?,joy
train,Ses01F_impro07,Ses01F_impro07_M001,M,Yeah. That is so awesome.,joy
train,Ses01F_impro07,Ses01F_impro07_M002,M,Oh my God. What are you going to do? [LAUGHTER],joy
train,Ses01F_impro07,Ses01F_impro07_M003,M,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",joy
train,Ses01F_impro07,Ses01F_impro07_M004,M,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",joy
train,Ses01F_impro07,Ses01F_impro07_M005,M,This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,joy
train,Ses01F_impro07,Ses01F_impro07_M006,M,A rapper party ho. Yeah. Okay.,joy
train,Ses01F_impro07,Ses01F_impro07_M007,M,"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",joy
train,Ses01F_impro07,Ses01F_impro07_M008,M,Yeah.  Big time.,joy
train,Ses01F_impro07,Ses01F_impro07_M009,M,Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,joy
train,Ses01F_impro07,Ses01F_impro07_M012,M,Is this a Masters or a P.h.D.?  Or can you...? Nice,neutral
train,Ses01F_impro07,Ses01F_impro07_M013,M,"That's good.  Don't you have to like teach a class, too, when you do that?",neutral
train,Ses01F_impro07,Ses01F_impro07_M014,M,"Teacher. Mrs. Nash, I have a question.",joy
train,Ses01F_impro07,Ses01F_impro07_M015,M,You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,joy
train,Ses01F_impro07,Ses01F_impro07_M017,M,Yay...School's fun.,joy
train,Ses01F_impro07,Ses01F_impro07_M018,M,"Of course, right.  That's where the real money is, being a student.",neutral
train,Ses01F_impro07,Ses01F_impro07_M019,M,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,joy
train,Ses01M_impro01,Ses01M_impro01_F000,F,Next.,anger
train,Ses01M_impro01,Ses01M_impro01_F001,F,My window is open.,anger
train,Ses01M_impro01,Ses01M_impro01_F004,F,What are you... what's...What are you applying for?,anger
train,Ses01M_impro01,Ses01M_impro01_F007,F,"No, I need your ID to give you a second ID.",anger
train,Ses01M_impro01,Ses01M_impro01_F008,F,It's really simple if you have a problem with it... Maybe you should--,anger
train,Ses01M_impro01,Ses01M_impro01_F010,F,You have a birth certificate?,anger
train,Ses01M_impro01,Ses01M_impro01_F011,F,What do you expect me to do?,anger
train,Ses01M_impro01,Ses01M_impro01_F012,F,Probably.,anger
train,Ses01M_impro01,Ses01M_impro01_F015,F,I am..I don't..I don't understand what you want.  A driver's license or a California ID.,anger
train,Ses01M_impro01,Ses01M_impro01_F019,F,Don't raise your voice with me.,anger
train,Ses01M_impro01,Ses01M_impro01_F020,F,Don't talk to me like I'm a child.,anger
train,Ses01M_impro01,Ses01M_impro01_F021,F,Do you know how long I've been working here? How long have you lived in California?,anger
train,Ses01M_impro01,Ses01M_impro01_F022,F,"Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one.",anger
train,Ses01M_impro01,Ses01M_impro01_F024,F,Uh huh.  I didn't come here get in yelling match either.,neutral
train,Ses01M_impro01,Ses01M_impro01_F025,F,They don't pay me enough to deal people like you.,neutral
train,Ses01M_impro01,Ses01M_impro01_M000,M,"Yes, me. Okay, okay here we go.",anger
train,Ses01M_impro01,Ses01M_impro01_M001,M,"Okay, so filled out all these forms  --",anger
train,Ses01M_impro01,Ses01M_impro01_M002,M,and I have This form of ID here so...,anger
train,Ses01M_impro01,Ses01M_impro01_M003,M,"Yes, Jones.",neutral
train,Ses01M_impro01,Ses01M_impro01_M005,M,I'm just applying for another ID.,anger
train,Ses01M_impro01,Ses01M_impro01_M006,M,"Yes.  I'm supposed to have three forms of ID for this.  It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another...",anger
train,Ses01M_impro01,Ses01M_impro01_M007,M,"I have it right here, yes.",anger
train,Ses01M_impro01,Ses01M_impro01_M008,M,But that's...,anger
train,Ses01M_impro01,Ses01M_impro01_M009,M,"That's why I'm here, that's why I was waiting in this line.  I need to get another form of ID.",anger
train,Ses01M_impro01,Ses01M_impro01_M010,M,"No, I don't have a passport.",neutral
train,Ses01M_impro01,Ses01M_impro01_M011,M,"I don't where it is though, I don't have with me.  Can I get it from somewhere?  I mean...",anger
train,Ses01M_impro01,Ses01M_impro01_M012,M,I probably have to go wait another line to get my birth certificate don't I?,anger
train,Ses01M_impro01,Ses01M_impro01_M013,M,You're very helpful.  What's your name?,anger
train,Ses01M_impro01,Ses01M_impro01_M015,M,So can you help me or not?,anger
train,Ses01M_impro01,Ses01M_impro01_M016,M,Okay. [BREATHING],anger
train,Ses01M_impro01,Ses01M_impro01_M017,M,I need California ID.,anger
train,Ses01M_impro01,Ses01M_impro01_M018,M,On top of these other two forms of ID which I already have.,anger
train,Ses01M_impro01,Ses01M_impro01_M019,M,"No, I don't have driver's license.",anger
train,Ses01M_impro01,Ses01M_impro01_M020,M,Did you even look at the form?  I filled it out all these questions--,anger
train,Ses01M_impro01,Ses01M_impro01_M022,M,Okay.,anger
train,Ses01M_impro01,Ses01M_impro01_M023,M,If it makes you stop acting like a child.,anger
train,Ses01M_impro01,Ses01M_impro01_M025,M,I am not...I'm not getting to back that line.,anger
train,Ses01M_impro01,Ses01M_impro01_M026,M,"Okay, okay let's keep our voices down, okay?  I didn't come here to get in yelling match.",anger
train,Ses01M_impro01,Ses01M_impro01_M027,M,"I did not come in here to get in a yelling match with you, all right?",anger
train,Ses01M_impro01,Ses01M_impro01_M028,M,Just try and help me.,anger
train,Ses01M_impro01,Ses01M_impro01_M030,M,Why?,anger
train,Ses01M_impro01,Ses01M_impro01_M031,M,"Why, because I'm sick of talking to you.",anger
train,Ses01M_impro01,Ses01M_impro01_M032,M,"'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",anger
train,Ses01M_impro01,Ses01M_impro01_M033,M,"Oh, no honey. And you're going to miss the Christmas card too. It's a shame. It's going to be a good, nice picture.",anger
train,Ses01M_impro04,Ses01M_impro04_F000,F,You seem kind of down.,neutral
train,Ses01M_impro04,Ses01M_impro04_F002,F,What do you mean?,neutral
train,Ses01M_impro04,Ses01M_impro04_F003,F,There's a lot of people looking for jobs.,neutral
train,Ses01M_impro04,Ses01M_impro04_F004,F,"I don't know, I mean, I just don't think...",neutral
train,Ses01M_impro04,Ses01M_impro04_F005,F,Did you ever think it might be your attitude that's...,neutral
train,Ses01M_impro04,Ses01M_impro04_F006,F,"I don't know just sometimes you get kind of... No, I'm not saying that.  I just--",neutral
train,Ses01M_impro04,Ses01M_impro04_F007,F,...has anyone ever just said anything like that to you before?,neutral
train,Ses01M_impro04,Ses01M_impro04_F008,F,"Right, sure.",neutral
train,Ses01M_impro04,Ses01M_impro04_F009,F,"But I mean you kind of got to, you got to fake it 'til you feel it, right?",neutral
train,Ses01M_impro04,Ses01M_impro04_F010,F,I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.,neutral
train,Ses01M_impro04,Ses01M_impro04_F011,F,No.  I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angry or upset.,neutral
train,Ses01M_impro04,Ses01M_impro04_F012,F,No.,neutral
train,Ses01M_impro04,Ses01M_impro04_F013,F,"Well, you know a little.  If you were to listen to--",neutral
train,Ses01M_impro04,Ses01M_impro04_F014,F,I just don't want you to fly off the handle.,neutral
train,Ses01M_impro04,Ses01M_impro04_F015,F,You kind of have a short fuse.,neutral
train,Ses01M_impro04,Ses01M_impro04_F016,F,Yeah.,neutral
train,Ses01M_impro04,Ses01M_impro04_F017,F,"Like this, right now we're trying have a conversation.",neutral
train,Ses01M_impro04,Ses01M_impro04_F018,F,We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.,neutral
train,Ses01M_impro04,Ses01M_impro04_F019,F,I can't finish the sentence with you without you jumping in...,neutral
train,Ses01M_impro04,Ses01M_impro04_F020,F,...and you're always right.,neutral
train,Ses01M_impro04,Ses01M_impro04_F021,F,You have an excuse for everything.,neutral
train,Ses01M_impro04,Ses01M_impro04_F022,F,I'm just saying that maybe you should take in some information before you produce more of your own.,neutral
train,Ses01M_impro04,Ses01M_impro04_F023,F,[BREATHING],neutral
train,Ses01M_impro04,Ses01M_impro04_F024,F,That's -.,anger
train,Ses01M_impro04,Ses01M_impro04_F025,F,"Well, what kind of field are you looking to go into?",neutral
train,Ses01M_impro04,Ses01M_impro04_M001,M,It's--I've been trying to find this job I can't get any job.,anger
train,Ses01M_impro04,Ses01M_impro04_M002,M,It's not fair.,anger
train,Ses01M_impro04,Ses01M_impro04_M003,M,"I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job.",anger
train,Ses01M_impro04,Ses01M_impro04_M004,M,"I guess.  But three years?  I mean, I like--I went to college even, I mean I didn't finish but I went for like a little bit.  It's not fair, I don't know.",anger
train,Ses01M_impro04,Ses01M_impro04_M005,M,"I mean I've been sending out my resumes and doing everything I can do but nothing is happening.  You know, it's like I can't and I can't keep living on loans anymore like this.  I'm going to--I mean eventually I'm going to have to pay it back. I'm just kind of freaking out, I don't know.",anger
train,Ses01M_impro04,Ses01M_impro04_M008,M,"No, well maybe it's because I'm like frustrated 'cause I can't get a job, you know.",anger
train,Ses01M_impro04,Ses01M_impro04_M009,M,"Like it's really hard to like shake that off when you go into like audition a room or whatever, you know what I mean?",anger
train,Ses01M_impro04,Ses01M_impro04_M010,M,"I guess I just getting really hard to fake, you know.",anger
train,Ses01M_impro04,Ses01M_impro04_M011,M,"Are you hiring? Wait, do you know of a job? Seriously, do you know, like do you know of anything though?  Like, oh please, do you know of anything?",anger
train,Ses01M_impro04,Ses01M_impro04_M012,M,Yeah.,anger
train,Ses01M_impro04,Ses01M_impro04_M013,M,I come across angry?,anger
train,Ses01M_impro04,Ses01M_impro04_M014,M,What?,anger
train,Ses01M_impro04,Ses01M_impro04_M015,M,"Okay.  You're my friend you can tell me stuff.  You can tell me honestly stuff, okay?  Please.",anger
train,Ses01M_impro04,Ses01M_impro04_M016,M,"Okay, I'm not flying off the handle I don't think I'm flying off the handle here at all.",anger
train,Ses01M_impro04,Ses01M_impro04_M017,M,I have a short fuse?,anger
train,Ses01M_impro04,Ses01M_impro04_M018,M,"Okay. Okay no, no, no, no okay no, I need to hear this more. Come on, bring it.",anger
train,Ses01M_impro04,Ses01M_impro04_M020,M,I'm not always right I'm just--,anger
train,Ses01M_impro04,Ses01M_impro04_M022,M,[BREATHING],anger
train,Ses01M_impro04,Ses01M_impro04_M023,M,I'm like a sponge I'm like soaked up with all this information for like three years I'm just dying for a job to like put it in to.,anger
train,Ses01M_impro04,Ses01M_impro04_M024,M,"You know, and like I don't think it's that much to ask. I know.",anger
train,Ses01M_impro04,Ses01M_impro04_M025,M,That's it.,neutral
train,Ses01M_impro05,Ses01M_impro05_F000,F,Can I help you?,neutral
train,Ses01M_impro05,Ses01M_impro05_F001,F,I need a little more information.,neutral
train,Ses01M_impro05,Ses01M_impro05_F002,F,What- What flight did you come in on?,neutral
train,Ses01M_impro05,Ses01M_impro05_F003,F,Georgia?,neutral
train,Ses01M_impro05,Ses01M_impro05_F004,F,"There's no need for you to raise your voice, sir.",neutral
train,Ses01M_impro05,Ses01M_impro05_F005,F,I've been college educated.,neutral
train,Ses01M_impro05,Ses01M_impro05_F006,F,I speak your language.,neutral
train,Ses01M_impro05,Ses01M_impro05_F007,F,I'm just saying you don't need to talk to me like I-,neutral
train,Ses01M_impro05,Ses01M_impro05_F008,F,I'm not a child.,anger
train,Ses01M_impro05,Ses01M_impro05_F011,F,"Details, Details.  Well, anyhow can I--",neutral
train,Ses01M_impro05,Ses01M_impro05_F012,F,so you flew in from Atlanta...,neutral
train,Ses01M_impro05,Ses01M_impro05_F013,F,Four...Four hours ago.,neutral
train,Ses01M_impro05,Ses01M_impro05_F014,F,Do you have any i-?,neutral
train,Ses01M_impro05,Ses01M_impro05_F015,F,I wouldn't let you?   I was not in Atlanta. I was not in Atlanta.,neutral
train,Ses01M_impro05,Ses01M_impro05_F016,F,I had nothing to do with the boarding attendance.  I'm sorry that your seat was wherever it was.,neutral
train,Ses01M_impro05,Ses01M_impro05_F017,F,"I have some unfortunate news, uh, that your bag isn't going to be--",neutral
train,Ses01M_impro05,Ses01M_impro05_F018,F,--arriving any time soon.,neutral
train,Ses01M_impro05,Ses01M_impro05_F019,F,I'm really sorry to tell you this but...,neutral
train,Ses01M_impro05,Ses01M_impro05_F020,F,It's not.  I can offer you fifty dollars and a reimbursement gift cards for our airline...,neutral
train,Ses01M_impro05,Ses01M_impro05_F021,F,...and your future...,neutral
train,Ses01M_impro05,Ses01M_impro05_F022,F,No.,neutral
train,Ses01M_impro05,Ses01M_impro05_F023,F,Yes.,neutral
train,Ses01M_impro05,Ses01M_impro05_F024,F,We've actually...,neutral
train,Ses01M_impro05,Ses01M_impro05_F025,F,They do as matter of fact.  We don't like to publicize it because,neutral
train,Ses01M_impro05,Ses01M_impro05_F026,F,people wouldn't Fly our airline.,neutral
train,Ses01M_impro05,Ses01M_impro05_F027,F,What was that?,neutral
