Split,Dialogue_ID,Utterance_ID,Speaker,Utterance,Emotion,Original_Emotion
train,Ses01F_impro02,Ses01F_impro02_F006,F,"There's babies over there, though, that need mothers.",neutral,neutral
train,Ses01F_impro02,Ses01F_impro02_F008,F,"Just, you know, kicking myself.",sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F010,F,things just aren't what they seem.,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F012,F,"If not me then, who?",sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F013,F,"You'll videotape everything, yeah?",sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F014,F,"Maybe you can send it to me, like stream it, yeah?",sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F015,F,Last month--  Yeah.,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F016,F,I have to find sitters.,neutral,neutral
train,Ses01F_impro02,Ses01F_impro02_F017,F,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F018,F,And your mother is close by.,neutral,neutral
train,Ses01F_impro02,Ses01F_impro02_F019,F,I'll send you lots of letters.,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_F020,F,And I want lots and lots and lots of pictures.,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_M001,M,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_M003,M,I just don't see how they can make you leave when you have a new baby - we have a new kid.,anger,frustration
train,Ses01F_impro02,Ses01F_impro02_M005,M,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_M008,M,I know.,anger,frustration
train,Ses01F_impro02,Ses01F_impro02_M009,M,I just don't see why it has to be you.,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_M010,M,What am I going to do? Huh?,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_M011,M,Yeah.,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_M012,M,Don't you guys have access to computers over there.,neutral,neutral
train,Ses01F_impro02,Ses01F_impro02_M013,M,I just don't know how I'm going to do it without you.,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_M014,M,I can't raise a baby by myself.  How?,sadness,sadness
train,Ses01F_impro02,Ses01F_impro02_M015,M,I know.,neutral,neutral
train,Ses01F_impro02,Ses01F_impro02_M016,M,It's just not fair.,anger,frustration
train,Ses01F_impro03,Ses01F_impro03_F000,F,Well Vegas was awesome.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F001,F,"And, um, I got married.",joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F002,F,Yeah.  In the old town part.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F004,F,Um- Yes.  It was very romantic.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F005,F,It was at the slot machines.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F006,F,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F008,F,"Yeah.  Well.  You know, because he's leaving the next day.",joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F009,F,But we're going to have a honeymoon cruise.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F010,F,Oh.  I hadn't even thought about that.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F012,F,Oh.  Totally.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F013,F,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F015,F,"Yeah, so [LAUGHTER] He's calling me now",joy,excited
train,Ses01F_impro03,Ses01F_impro03_F016,F,"He likes to keep tabs, you know.",joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F017,F,"Uh, I think seven hundred and fifty dollars.",neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_F018,F,Penny slots. That's what he plays.,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_F019,F,Yeah.,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_F021,F,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F022,F,Fifty bucks. Mmhmm.,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_F023,F,Yeah.,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_F024,F,Well so now we're married. We have cat children.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F025,F,"We renamed Brenda, Lumber Janet.",joy,happiness
train,Ses01F_impro03,Ses01F_impro03_F026,F,She needs a new name each state that we go into. [LAUGHTER],joy,happiness
train,Ses01F_impro03,Ses01F_impro03_M000,M,So what's up?  What's new?,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_M001,M,Yeah.  I heard.,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_M002,M,Shut up.  No- in Vegas?,surprise,surprise
train,Ses01F_impro03,Ses01F_impro03_M003,M,Who did you marry?,joy,excited
train,Ses01F_impro03,Ses01F_impro03_M006,M,He turned to you and was like...,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_M007,M,[LAUGHTER] That's really romantic.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_M008,M,Yeah.,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_M009,M,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_M011,M,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_M013,M,Like you need another one of those.[LAUGHTER],joy,happiness
train,Ses01F_impro03,Ses01F_impro03_M014,M,Is that your phone?,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_M015,M,He loves you.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_M016,M,How much did he win at the slot?,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_M017,M,Really? Penny slots?,surprise,surprise
train,Ses01F_impro03,Ses01F_impro03_M018,M,Wow.,surprise,surprise
train,Ses01F_impro03,Ses01F_impro03_M019,M,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_M020,M,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_M021,M,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neutral,neutral
train,Ses01F_impro03,Ses01F_impro03_M022,M,Awesome.,joy,excited
train,Ses01F_impro03,Ses01F_impro03_M023,M,[LAUGHTER] Cat babies.,joy,happiness
train,Ses01F_impro03,Ses01F_impro03_M024,M,That's fair enough.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_F000,F,"Uh, what?  Craig's List?  Oh the internet thing?",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_F001,F,I don't know.  Isn't that-- that's all like escort services and things like that.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_F002,F,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F005,F,He just...,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_F006,F,you know what?  I heard about that job.  I applied for that.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_F007,F,Yeah.  I saw a posting at the theatre.,anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F009,F,Yeah.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_F013,F,I just- I mean I call people up and I tell them what I'm good at.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_F014,F,Yeah.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_F016,F,I'm there in front of them.  I'm telling them what I'm good at.,anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F017,F,Why?  It's a piece of paper.,anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F018,F,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F019,F,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F021,F,"That's baloney, that's baloney.",anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F022,F,Please.,anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F023,F,you think that you're better than me because I don't have a car?,anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F024,F,"You know, you're riding the bus, too.",anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F025,F,Why?  What choice?,anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F026,F,You're saving the environment. mmhmm,anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F027,F,Interesting.  That's fantastic.,anger,frustration
train,Ses01F_impro04,Ses01F_impro04_F028,F,I'm not frustrated.,anger,anger
train,Ses01F_impro04,Ses01F_impro04_F029,F,Who do you think you are?,anger,anger
train,Ses01F_impro04,Ses01F_impro04_F030,F,You are so high and mighty.  I just--,anger,anger
train,Ses01F_impro04,Ses01F_impro04_F031,F,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,anger,anger
train,Ses01F_impro04,Ses01F_impro04_F032,F,"The bus, I'm riding the bus because I want to.",anger,anger
train,Ses01F_impro04,Ses01F_impro04_F033,F,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,anger,anger
train,Ses01F_impro04,Ses01F_impro04_M000,M,"Have you tried, uh, Craig's List?",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M001,M,Yeah.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M002,M,No.  There's regular jobs on there.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M003,M,Uh huh.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M004,M,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M005,M,He's like a manager for a theatre.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M006,M,He's like a house manager. Yeah.  It's a good job.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M007,M,You did?,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M008,M,Yeah.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M009,M,You've been looking for a job for a long time; that was a long time ago.  Right?,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M010,M,Hmm.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M011,M,I don't know.  He had a really good resume I guess and--,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M012,M,Yeah.  Do you have a resume?,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M013,M,It's kind of helpful when getting a job.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M014,M,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M015,M,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M016,M,"Yeah.  But the piece of paper helps, too.",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M017,M,"No.  But it has an outline, you know.",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M018,M,"I know.  Okay.  Well, um. Maybe--",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M019,M,Yeah.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M020,M,"Okay, yeah.  I would imagine.",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M021,M,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M022,M,maybe get a car.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M023,M,"I just, you know, think you should try a little harder maybe.",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M024,M,I didn't say that.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M025,M,"I am riding the bus, but by choice.",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M026,M,"To save the environment, carpool.",neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M027,M,Yes.  One less car at a time.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M028,M,Mmhmm.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M029,M,"You know, you don't have to take out your frustration on me, you know, just because...",anger,frustration
train,Ses01F_impro04,Ses01F_impro04_M030,M,...you can't get a job and refuse to have a resume.,anger,frustration
train,Ses01F_impro04,Ses01F_impro04_M031,M,I don't think I'm anyone.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M032,M,I- I-I didn't-- okay.,neutral,neutral
train,Ses01F_impro04,Ses01F_impro04_M034,M,What? Oh.  So now you're...,anger,frustration
train,Ses01F_impro04,Ses01F_impro04_M035,M,you know what?  You don't have to take your anger and your hurt out on me.,anger,frustration
train,Ses01F_impro05,Ses01F_impro05_F000,F,Hi.,anger,frustration
train,Ses01F_impro05,Ses01F_impro05_F001,F,Yeah. This is the fourth line that I have been in.,anger,frustration
train,Ses01F_impro05,Ses01F_impro05_F002,F,I need my bag.,anger,frustration
train,Ses01F_impro05,Ses01F_impro05_F003,F,"I flew in over three hours ago, I've been in four different lines.",anger,frustration
train,Ses01F_impro05,Ses01F_impro05_F004,F,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,anger,frustration
train,Ses01F_impro05,Ses01F_impro05_F005,F,Nash.,anger,frustration
train,Ses01F_impro05,Ses01F_impro05_F007,F,Yes.,anger,frustration
train,Ses01F_impro05,Ses01F_impro05_F008,F,Flight seven fourteen.,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F009,F,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",anger,anger
train,Ses01F_impro05,Ses01F_impro05_F011,F,Is this a joke?,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F012,F,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",anger,anger
train,Ses01F_impro05,Ses01F_impro05_F014,F,"You're kidding me, this is a joke.",anger,anger
train,Ses01F_impro05,Ses01F_impro05_F015,F,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F016,F,We flew in from Paris.  I've been shopping for three weeks.,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F017,F,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F018,F,Do you understand who my husband is?,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F019,F,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",anger,anger
train,Ses01F_impro05,Ses01F_impro05_F020,F,Oh-Oh.  It's a gift.  You're-You're helping me out here?,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F021,F,You are cruising for a bruising.  You are in so much trouble.,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F022,F,Who's in charge?  Who is the president of Jet Blue?,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F023,F,Because I probably know him.,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F024,F,Yeah.,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F025,F,"I don't want money, I want my clothes.",anger,anger
train,Ses01F_impro05,Ses01F_impro05_F026,F,What's your name?,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F028,F,Okay.  I'll do that.,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F029,F,I don't think you have done everything you could do because I don't have my bag here yet.,anger,anger
train,Ses01F_impro05,Ses01F_impro05_F030,F,A letter? I'll make a personal phone call.,anger,anger
train,Ses01F_impro05,Ses01F_impro05_M000,M,Hi.  Thanks for waiting.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M001,M,Can I help you?,joy,happiness
train,Ses01F_impro05,Ses01F_impro05_M002,M,Uh huh.,joy,happiness
train,Ses01F_impro05,Ses01F_impro05_M003,M,Okay.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M004,M,Okay.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M005,M,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M006,M,Okay.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M007,M,all right- okay.  And you lost your bag? Is that- that the issue?,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M008,M,Uh-huh.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M009,M,"Yeah. Yeah, I don't see- I don't see any--",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M010,M,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M011,M,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M012,M,"for such an inconvenience and your bag, but",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M013,M,Yeah.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M014,M,"No, no.",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M015,M,"No, no.  This is real.",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M016,M,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M017,M,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M019,M,Yes.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M020,M,I know.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M022,M,Okay. Calm-,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M023,M,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M024,M,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M025,M,It's a gift.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M026,M,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M027,M,With the amount of--,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M028,M,"Um, actually, I don't know. I don't know. Oh really?",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M029,M,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M030,M,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M031,M,Oh.  My name is Sean. Hi.,neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M032,M,"Badge number?  Uh, no.  You can just take my employee number I guess.",surprise,surprise
train,Ses01F_impro05,Ses01F_impro05_M033,M,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,surprise,surprise
train,Ses01F_impro05,Ses01F_impro05_M034,M,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",neutral,neutral
train,Ses01F_impro05,Ses01F_impro05_M035,M,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_F002,F,No.,sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F003,F,That's sweet.,neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_F004,F,Thank you.,neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_F005,F,I went to see her headstone a week or two ago.,sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F006,F,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F007,F,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F008,F,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F009,F,"this woman came up and, you know, it was hers. It was her person that was there.",neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_F010,F,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F011,F,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F012,F,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F013,F,I don't know.,sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F014,F,At the cemetery?,sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F015,F,couple hours.,sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F016,F,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_F018,F,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_F019,F,Yeah.,neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_F020,F,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F021,F,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F022,F,She used to have these poetry parties on Memorial Day.,sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F023,F,Umm. Yeah.,sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F024,F,"And the last time before she died, I remember she couldn't really stand, umm...",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F025,F,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F026,F,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_F027,F,"There's another one, I can't remember.",neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_F028,F,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_M000,M,"I'm sorry, Joy.",sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_M001,M,Is there anything I can get you?  Do you want me to take care of anything for you or...?,neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_M002,M,...pick up anything?,neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_M003,M,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sadness,sadness
train,Ses01F_impro06,Ses01F_impro06_M004,M,Hmm.,neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_M005,M,Oh.  She was there?,neutral,neutral
train,Ses01F_impro06,Ses01F_impro06_M006,M,Mmhmm.,neutral,neutral
